,Fine,On Fire,Burned Out,Fire Put Out,Total steps of the fire forest
0,6374,72,0,0,1
1,6292,46,108,0,1
2,6228,40,178,0,2
3,6162,49,235,0,3
4,6098,29,319,0,4
5,6037,37,372,0,5
6,5989,27,430,0,6
7,5936,32,478,0,7
8,5869,37,540,0,8
9,5830,25,591,0,9
10,5777,33,636,0,10
11,5707,39,700,0,11
12,5657,28,761,0,12
13,5600,37,809,0,13
14,5524,44,878,0,14
15,5456,46,944,0,15
16,5403,33,1010,0,16
17,5342,35,1069,0,17
18,5267,36,1143,0,18
19,5181,50,1215,0,19
20,5092,55,1299,0,20
21,4980,61,1405,0,21
22,4872,62,1512,0,22
23,4799,48,1599,0,23
24,4729,37,1680,0,24
25,4649,37,1760,0,25
26,4588,38,1820,0,26
27,4512,40,1894,0,27
28,4455,35,1956,0,28
29,4365,48,2033,0,29
30,4293,46,2107,0,30
31,4216,35,2195,0,31
32,4167,35,2244,0,32
33,4096,36,2314,0,33
34,4010,52,2384,0,34
35,3911,57,2478,0,35
36,3825,45,2576,0,36
37,3763,39,2644,0,37
38,3701,41,2704,0,38
39,3618,39,2789,0,39
40,3556,36,2854,0,40
41,3508,25,2913,0,41
42,3487,11,2948,0,42
43,3458,19,2969,0,43
44,3430,17,2999,0,44
45,3396,20,3030,0,45
46,3358,20,3068,0,46
47,3328,11,3107,0,47
48,3317,5,3124,0,48
49,3303,8,3135,0,49
50,3285,11,3150,0,50
51,3248,20,3178,0,51
52,3218,16,3212,0,52
53,3186,15,3245,0,53
54,3164,17,3265,0,54
55,3132,16,3298,0,55
56,3076,29,3341,0,56
57,3029,29,3388,0,57
58,2999,19,3428,0,58
59,2966,17,3463,0,59
60,2928,20,3498,0,60
61,2870,28,3548,0,61
62,2822,23,3601,0,62
63,2761,31,3654,0,63
64,2697,38,3711,0,64
65,2629,43,3774,0,65
66,2557,35,3854,0,66
67,2508,28,3910,0,67
68,2461,21,3964,0,68
69,2436,18,3992,0,69
70,2393,23,4030,0,70
71,2366,19,4061,0,71
72,2322,25,4099,0,72
73,2283,25,4138,0,73
74,2237,27,4182,0,74
75,2200,27,4219,0,75
76,2164,22,4260,0,76
77,2129,23,4294,0,77
78,2097,21,4328,0,78
79,2064,21,4361,0,79
80,2023,18,4405,0,80
81,1979,25,4442,0,81
82,1930,27,4489,0,82
83,1895,18,4533,0,83
84,1860,16,4570,0,84
85,1840,13,4593,0,85
86,1807,20,4619,0,86
87,1792,8,4646,0,87
88,1774,13,4659,0,88
89,1758,11,4677,0,89
90,1738,8,4700,0,90
91,1725,6,4715,0,91
92,1720,2,4724,0,92
93,1719,1,4726,0,93
94,1719,0,4727,0,94
